line_idx,text,,,,
173,"The earth hath bubbles, as the water has,",,,,
174,And these are of them. Whither are they vanished?,,,,
175,"Into the air, and what seemed corporal melted,",,,,
176,As breath into the wind. Would they had stayed!,,,,
177,Were such things here as we do speak about?,,,,
178,Or have we eaten on the insane root,,,,
179,That takes the reason prisoner?,,,,
180,Your children shall be kings.,,,,
181,You shall be king.,,,,
182,And Thane of Cawdor too. Went it not so?,,,,
183,To th’ selfsame tune and words.—Who’s here?,,,,
184,"The King hath happily received, Macbeth,",,,,
185,"The news of thy success, and, when he reads",,,,
186,"Thy personal venture in the rebels’ fight,",,,,
187,His wonders and his praises do contend,,,,
188,"Which should be thine or his. Silenced with that,",,,,
189,In viewing o’er the rest o’ th’ selfsame day,,,,
190,"He finds thee in the stout Norweyan ranks,",,,,
191,"Nothing afeard of what thyself didst make,",,,,
192,Strange images of death. As thick as tale,,,,
193,"Came post with post, and every one did bear",,,,
194,"Thy praises in his kingdom’s great defense,",,,,
195,And poured them down before him.,,,,
196,We are sent,,,,
197,"To give thee from our royal master thanks,",,,,
198,"Only to herald thee into his sight,",,,,
199,Not pay thee.,,,,
200,"And for an earnest of a greater honor,",,,,
201,"He bade me, from him, call thee Thane of Cawdor,",,,,
202,"In which addition, hail, most worthy thane,",,,,
203,For it is thine.,,,,
204,"What, can the devil speak true?",,,,
205,The Thane of Cawdor lives. Why do you dress me,,,,
206,In borrowed robes?,,,,
207,"Who was the Thane lives yet,",,,,
208,But under heavy judgment bears that life,,,,
209,Which he deserves to lose. Whether he was,,,,
210,combined,,,,
211,"With those of Norway, or did line the rebel",,,,
212,"With hidden help and vantage, or that with both",,,,
213,"He labored in his country’s wrack, I know not;",,,,
214,"But treasons capital, confessed and proved,",,,,
215,Have overthrown him.,,,,
216,Glamis and Thane of Cawdor!,,,,
217,The greatest is behind. Thanks,,,,
218,for your pains.,,,,
219,Do you not hope your children,,,,
220,"shall be kings,",,,,
221,When those that gave the Thane of Cawdor to me,,,,
222,Promised no less to them?,,,,
223,"That, trusted home,",,,,
224,"Might yet enkindle you unto the crown,",,,,
225,Besides the Thane of Cawdor. But ’tis strange.,,,,
226,"And oftentimes, to win us to our harm,",,,,
227,"The instruments of darkness tell us truths,",,,,
228,"Win us with honest trifles, to betray ’s",,,,
229,In deepest consequence.—,,,,
230,"Cousins, a word, I pray you.",,,,
231,Two truths are told,,,,
232,As happy prologues to the swelling act,,,,
233,"Of the imperial theme.—I thank you, gentlemen.",,,,
234,This supernatural soliciting,,,,
235,"Cannot be ill, cannot be good. If ill,",,,,
236,Why hath it given me earnest of success,,,,
237,Commencing in a truth? I am Thane of Cawdor.,,,,
238,"If good, why do I yield to that suggestion",,,,
239,Whose horrid image doth unfix my hair,,,,
240,And make my seated heart knock at my ribs,,,,
241,Against the use of nature? Present fears,,,,
242,Are less than horrible imaginings.,,,,
243,"My thought, whose murder yet is but fantastical,",,,,
244,Shakes so my single state of man,,,,
245,"That function is smothered in surmise,",,,,
246,And nothing is but what is not.,,,,
247,Look how our partner’s rapt.,,,,
248,"If chance will have me king, why, chance may",,,,
249,crown me,,,,
250,Without my stir.,,,,
251,"New honors come upon him,",,,,
252,"Like our strange garments, cleave not to their mold",,,,
253,But with the aid of use.,,,,
254,"Come what come may,",,,,
255,Time and the hour runs through the roughest day.,,,,
256,"Worthy Macbeth, we stay upon your leisure.",,,,
257,Give me your favor. My dull brain was wrought,,,,
258,"With things forgotten. Kind gentlemen, your pains",,,,
259,Are registered where every day I turn,,,,
260,The leaf to read them. Let us toward the King.,,,,
261,"Think upon what hath chanced,",,,,
262,"and at more time,",,,,
263,"The interim having weighed it, let us speak",,,,
264,Our free hearts each to other.,,,,
265,Very gladly.,,,,
266,"Till then, enough.—Come, friends.",,,,
267,Is execution done on Cawdor? Are not,,,,
268,Those in commission yet returned?,,,,
269,"My liege,",,,,
270,They are not yet come back. But I have spoke,,,,
271,"With one that saw him die, who did report",,,,
272,"That very frankly he confessed his treasons,",,,,
273,"Implored your Highness’ pardon, and set forth",,,,
274,A deep repentance. Nothing in his life,,,,
275,Became him like the leaving it. He died,,,,
276,As one that had been studied in his death,,,,
277,To throw away the dearest thing he owed,,,,
278,As ’twere a careless trifle.,,,,
279,There’s no art,,,,
280,To find the mind’s construction in the face.,,,,
281,He was a gentleman on whom I built,,,,
282,An absolute trust.,,,,
283,"O worthiest cousin,",,,,
284,The sin of my ingratitude even now,,,,
285,Was heavy on me. Thou art so far before,,,,
286,That swiftest wing of recompense is slow,,,,
287,"To overtake thee. Would thou hadst less deserved,",,,,
288,That the proportion both of thanks and payment,,,,
289,"Might have been mine! Only I have left to say,",,,,
290,More is thy due than more than all can pay.,,,,
291,The service and the loyalty I owe,,,,
292,In doing it pays itself. Your Highness’ part,,,,
293,"Is to receive our duties, and our duties",,,,
294,"Are to your throne and state children and servants,",,,,
295,Which do but what they should by doing everything,,,,
296,Safe toward your love and honor.,,,,
297,Welcome hither.,,,,
298,I have begun to plant thee and will labor,,,,
299,"To make thee full of growing.—Noble Banquo,",,,,
300,That hast no less deserved nor must be known,,,,
301,"No less to have done so, let me enfold thee",,,,
302,And hold thee to my heart.,,,,
303,"There, if I grow,",,,,
304,The harvest is your own.,,,,
305,"My plenteous joys,",,,,
306,"Wanton in fullness, seek to hide themselves",,,,
307,"In drops of sorrow.—Sons, kinsmen, thanes,",,,,
308,"And you whose places are the nearest, know",,,,
309,We will establish our estate upon,,,,
310,"Our eldest, Malcolm, whom we name hereafter",,,,
311,The Prince of Cumberland; which honor must,,,,
312,"Not unaccompanied invest him only,",,,,
313,"But signs of nobleness, like stars, shall shine",,,,
314,On all deservers.—From hence to Inverness,,,,
315,And bind us further to you.,,,,
316,The rest is labor which is not used for you.,,,,
317,I’ll be myself the harbinger and make joyful,,,,
318,The hearing of my wife with your approach.,,,,
319,So humbly take my leave.,,,,
320,My worthy Cawdor.,,,,
321,The Prince of Cumberland! That is a step,,,,
322,"On which I must fall down or else o’erleap,",,,,
323,"For in my way it lies. Stars, hide your fires;",,,,
324,Let not light see my black and deep desires.,,,,
325,"The eye wink at the hand, yet let that be",,,,
326,"Which the eye fears, when it is done, to see.",,,,
327,"True, worthy Banquo. He is full so valiant,",,,,
328,And in his commendations I am fed:,,,,
329,"It is a banquet to me.—Let’s after him,",,,,
330,Whose care is gone before to bid us welcome.,,,,
331,It is a peerless kinsman.,,,,
332,They met me in the,,,,
333,"day of success, and I have learned by the perfect’st",,,,
334,report they have more in them than mortal knowledge.,,,,
335,"When I burned in desire to question them further, they",,,,
336,"made themselves air, into which they vanished.",,,,
337,Whiles I stood rapt in the wonder of it came missives,,,,
338,"from the King, who all-hailed me Thane of Cawdor,",,,,
339,"by which title, before, these Weïrd Sisters saluted me",,,,
340,"and referred me to the coming on of time with Hail,",,,,
341,king that shalt be. This have I thought good to deliver,,,,
342,"thee, my dearest partner of greatness, that thou",,,,
343,might’st not lose the dues of rejoicing by being ignorant,,,,
344,of what greatness is promised thee. Lay it to thy,,,,
345,"heart, and farewell.",,,,
346,"Glamis thou art, and Cawdor, and shalt be",,,,
347,What thou art promised. Yet do I fear thy nature;,,,,
348,It is too full o’ th’ milk of human kindness,,,,
349,"To catch the nearest way. Thou wouldst be great,",,,,
350,"Art not without ambition, but without",,,,
351,The illness should attend it. What thou wouldst,,,,
352,"highly,",,,,
353,That wouldst thou holily; wouldst not play false,,,,
354,"And yet wouldst wrongly win. Thou ’dst have, great",,,,
355,"Glamis,",,,,
356,"That which cries Thus thou must do, if thou have",,,,
357,"it,",,,,
358,"And that which rather thou dost fear to do,",,,,
359,"Than wishest should be undone. Hie thee hither,",,,,
360,That I may pour my spirits in thine ear,,,,
361,And chastise with the valor of my tongue,,,,
362,"All that impedes thee from the golden round,",,,,
363,Which fate and metaphysical aid doth seem,,,,
364,To have thee crowned withal.,,,,
365,What is your tidings?,,,,
366,The King comes here tonight.,,,,
367,Thou ’rt mad to say it.,,,,
368,"Is not thy master with him, who, were ’t so,",,,,
369,Would have informed for preparation?,,,,
370,"So please you, it is true. Our thane is coming.",,,,
371,"One of my fellows had the speed of him,",,,,
372,"Who, almost dead for breath, had scarcely more",,,,
373,Than would make up his message.,,,,
374,Give him tending.,,,,
375,He brings great news.,,,,
376,The raven himself is hoarse,,,,
377,That croaks the fatal entrance of Duncan,,,,
378,"Under my battlements. Come, you spirits",,,,
379,"That tend on mortal thoughts, unsex me here,",,,,
380,And fill me from the crown to the toe top-full,,,,
381,Of direst cruelty. Make thick my blood.,,,,
382,"Stop up th’ access and passage to remorse,",,,,
383,That no compunctious visitings of nature,,,,
384,"Shake my fell purpose, nor keep peace between",,,,
385,Th’ effect and it. Come to my woman’s breasts,,,,
386,"And take my milk for gall, you murd’ring ministers,",,,,
387,Wherever in your sightless substances,,,,
388,"You wait on nature’s mischief. Come, thick night,",,,,
389,"And pall thee in the dunnest smoke of hell,",,,,
390,"That my keen knife see not the wound it makes,",,,,
391,Nor heaven peep through the blanket of the dark,,,,
392,"To cry Hold, hold!",,,,
393,"Great Glamis, worthy Cawdor,",,,,
394,Greater than both by the all-hail hereafter!,,,,
395,Thy letters have transported me beyond,,,,
396,"This ignorant present, and I feel now",,,,
397,The future in the instant.,,,,
398,"My dearest love,",,,,
399,Duncan comes here tonight.,,,,
400,And when goes hence?,,,,
401,"Tomorrow, as he purposes.",,,,
402,"O, never",,,,
403,Shall sun that morrow see!,,,,
404,"Your face, my thane, is as a book where men",,,,
405,"May read strange matters. To beguile the time,",,,,
406,"Look like the time. Bear welcome in your eye,",,,,
407,"Your hand, your tongue. Look like th’ innocent",,,,
408,"flower,",,,,
409,But be the serpent under ’t. He that’s coming,,,,
410,Must be provided for; and you shall put,,,,
411,"This night’s great business into my dispatch,",,,,
412,Which shall to all our nights and days to come,,,,
413,Give solely sovereign sway and masterdom.,,,,
414,We will speak further.,,,,
415,Only look up clear.,,,,
416,To alter favor ever is to fear.,,,,
417,Leave all the rest to me.,,,,
418,This castle hath a pleasant seat. The air,,,,
419,Nimbly and sweetly recommends itself,,,,
420,Unto our gentle senses.,,,,
421,"This guest of summer,",,,,
422,"The temple-haunting martlet, does approve,",,,,
423,"By his loved mansionry, that the heaven’s breath",,,,
424,"Smells wooingly here. No jutty, frieze,",,,,
425,"Buttress, nor coign of vantage, but this bird",,,,
426,Hath made his pendant bed and procreant cradle.,,,,
427,"Where they most breed and haunt, I have",,,,
428,"observed,",,,,
429,The air is delicate.,,,,
430,"See, see our honored hostess!—",,,,
431,"The love that follows us sometime is our trouble,",,,,
432,Which still we thank as love. Herein I teach you,,,,
433,How you shall bid God ’ild us for your pains,,,,
434,And thank us for your trouble.,,,,
435,"All our service,",,,,
436,"In every point twice done and then done double,",,,,
437,Were poor and single business to contend,,,,
438,Against those honors deep and broad wherewith,,,,
439,"Your Majesty loads our house. For those of old,",,,,
440,"And the late dignities heaped up to them,",,,,
441,We rest your hermits.,,,,
442,Where’s the Thane of Cawdor?,,,,
443,We coursed him at the heels and had a purpose,,,,
444,"To be his purveyor; but he rides well,",,,,
445,"And his great love, sharp as his spur, hath helped",,,,
446,him,,,,
447,"To his home before us. Fair and noble hostess,",,,,
448,We are your guest tonight.,,,,
449,Your servants ever,,,,
450,"Have theirs, themselves, and what is theirs in compt",,,,
451,"To make their audit at your Highness’ pleasure,",,,,
452,Still to return your own.,,,,
453,Give me your hand.,,,,
454,Conduct me to mine host. We love him highly,,,,
455,And shall continue our graces towards him.,,,,
456,"By your leave, hostess.",,,,
457,"If it were done when ’tis done, then ’twere well",,,,
458,It were done quickly. If th’ assassination,,,,
459,Could trammel up the consequence and catch,,,,
460,"With his surcease success, that but this blow",,,,
461,"Might be the be-all and the end-all here,",,,,
462,"But here, upon this bank and shoal of time,",,,,
463,We’d jump the life to come. But in these cases,,,,
464,"We still have judgment here, that we but teach",,,,
465,"Bloody instructions, which, being taught, return",,,,
466,To plague th’ inventor. This even-handed justice,,,,
467,Commends th’ ingredience of our poisoned chalice,,,,
468,To our own lips. He’s here in double trust:,,,,
469,"First, as I am his kinsman and his subject,",,,,
470,"Strong both against the deed; then, as his host,",,,,
471,"Who should against his murderer shut the door,",,,,
472,"Not bear the knife myself. Besides, this Duncan",,,,
473,"Hath borne his faculties so meek, hath been",,,,
474,"So clear in his great office, that his virtues",,,,
475,"Will plead like angels, trumpet-tongued, against",,,,
476,The deep damnation of his taking-off;,,,,
477,"And pity, like a naked newborn babe",,,,
478,"Striding the blast, or heaven’s cherubin horsed",,,,
479,"Upon the sightless couriers of the air,",,,,
480,"Shall blow the horrid deed in every eye,",,,,
481,That tears shall drown the wind. I have no spur,,,,
482,"To prick the sides of my intent, but only",,,,
483,"Vaulting ambition, which o’erleaps itself",,,,
484,And falls on th’ other—,,,,
485,"How now, what news?",,,,
486,He has almost supped. Why have you left the,,,,
487,chamber?,,,,
488,Hath he asked for me?,,,,
489,Know you not he has?,,,,
490,We will proceed no further in this business.,,,,
491,"He hath honored me of late, and I have bought",,,,
492,"Golden opinions from all sorts of people,",,,,
493,"Which would be worn now in their newest gloss,",,,,
494,Not cast aside so soon.,,,,
495,Was the hope drunk,,,,
496,Wherein you dressed yourself? Hath it slept since?,,,,
497,"And wakes it now, to look so green and pale",,,,
498,At what it did so freely? From this time,,,,
499,Such I account thy love. Art thou afeard,,,,
500,To be the same in thine own act and valor,,,,
501,As thou art in desire? Wouldst thou have that,,,,
502,Which thou esteem’st the ornament of life,,,,
503,"And live a coward in thine own esteem,",,,,
504,"Letting I dare not wait upon I would,",,,,
505,Like the poor cat i’ th’ adage?,,,,
506,"Prithee, peace.",,,,
507,I dare do all that may become a man.,,,,
508,Who dares do more is none.,,,,
509,"What beast was ’t,",,,,
510,"then,",,,,
511,That made you break this enterprise to me?,,,,
512,"When you durst do it, then you were a man;",,,,
513,"And to be more than what you were, you would",,,,
514,Be so much more the man. Nor time nor place,,,,
515,"Did then adhere, and yet you would make both.",,,,
516,"They have made themselves, and that their fitness",,,,
517,now,,,,
518,"Does unmake you. I have given suck, and know",,,,
519,How tender ’tis to love the babe that milks me.,,,,
520,"I would, while it was smiling in my face,",,,,
521,Have plucked my nipple from his boneless gums,,,,
522,"And dashed the brains out, had I so sworn as you",,,,
523,Have done to this.,,,,
524,If we should fail—,,,,
525,We fail?,,,,
526,But screw your courage to the sticking place,,,,
527,And we’ll not fail. When Duncan is asleep,,,,
528,(Whereto the rather shall his day’s hard journey,,,,
529,"Soundly invite him), his two chamberlains",,,,
530,Will I with wine and wassail so convince,,,,
531,"That memory, the warder of the brain,",,,,
532,"Shall be a fume, and the receipt of reason",,,,
533,A limbeck only. When in swinish sleep,,,,
534,"Their drenchèd natures lies as in a death,",,,,
535,What cannot you and I perform upon,,,,
536,Th’ unguarded Duncan? What not put upon,,,,
537,"His spongy officers, who shall bear the guilt",,,,
538,Of our great quell?,,,,
539,"Bring forth men-children only,",,,,
540,For thy undaunted mettle should compose,,,,
541,"Nothing but males. Will it not be received,",,,,
542,When we have marked with blood those sleepy two,,,,
543,"Of his own chamber and used their very daggers,",,,,
544,That they have done ’t?,,,,
545,"Who dares receive it other,",,,,
546,As we shall make our griefs and clamor roar,,,,
547,Upon his death?,,,,
548,I am settled and bend up,,,,
549,Each corporal agent to this terrible feat.,,,,
550,"Away, and mock the time with fairest show.",,,,
551,False face must hide what the false heart doth,,,,
552,know.,,,,
553,"How goes the night, boy?",,,,
554,The moon is down. I have not heard the clock.,,,,
555,And she goes down at twelve.,,,,
556,"I take ’t ’tis later, sir.",,,,
557,"Hold, take my sword.",,,,
558,There’s husbandry in heaven;,,,,
559,Their candles are all out. Take thee that too.,,,,
560,"A heavy summons lies like lead upon me,",,,,
561,"And yet I would not sleep. Merciful powers,",,,,
562,Restrain in me the cursèd thoughts that nature,,,,
563,Gives way to in repose.,,,,
564,Give me my sword.—Who’s,,,,
565,there?,,,,
566,A friend.,,,,
567,"What, sir, not yet at rest? The King’s abed.",,,,
568,"He hath been in unusual pleasure, and",,,,
569,Sent forth great largess to your offices.,,,,
570,"This diamond he greets your wife withal,",,,,
571,"By the name of most kind hostess, and shut up",,,,
572,In measureless content.,,,,
573,"Being unprepared,",,,,
574,"Our will became the servant to defect,",,,,
575,Which else should free have wrought.,,,,
576,All’s well.,,,,
577,I dreamt last night of the three Weïrd Sisters.,,,,
578,To you they have showed some truth.,,,,
579,I think not of,,,,
580,them.,,,,
581,"Yet, when we can entreat an hour to serve,",,,,
582,We would spend it in some words upon that,,,,
583,"business,",,,,
584,If you would grant the time.,,,,
585,At your kind’st leisure.,,,,
586,"If you shall cleave to my consent, when ’tis,",,,,
587,It shall make honor for you.,,,,
588,So I lose none,,,,
589,"In seeking to augment it, but still keep",,,,
590,"My bosom franchised and allegiance clear,",,,,
591,I shall be counseled.,,,,
592,Good repose the while.,,,,
593,"Thanks, sir. The like to you.",,,,
594,"Go bid thy mistress, when my drink is ready,",,,,
595,She strike upon the bell. Get thee to bed.,,,,
596,"Is this a dagger which I see before me,",,,,
597,"The handle toward my hand? Come, let me clutch",,,,
598,thee.,,,,
599,"I have thee not, and yet I see thee still.",,,,
600,"Art thou not, fatal vision, sensible",,,,
601,To feeling as to sight? Or art thou but,,,,
602,"A dagger of the mind, a false creation",,,,
603,Proceeding from the heat-oppressèd brain?,,,,
604,"I see thee yet, in form as palpable",,,,
605,As this which now I draw.,,,,
606,"Thou marshal’st me the way that I was going,",,,,
607,And such an instrument I was to use.,,,,
608,Mine eyes are made the fools o’ th’ other senses,,,,
609,"Or else worth all the rest. I see thee still,",,,,
610,"And, on thy blade and dudgeon, gouts of blood,",,,,
611,Which was not so before. There’s no such thing.,,,,
612,It is the bloody business which informs,,,,
613,Thus to mine eyes. Now o’er the one-half world,,,,
614,"Nature seems dead, and wicked dreams abuse",,,,
615,The curtained sleep. Witchcraft celebrates,,,,
616,"Pale Hecate’s off’rings, and withered murder,",,,,
617,"Alarumed by his sentinel, the wolf,",,,,
618,"Whose howl’s his watch, thus with his stealthy pace,",,,,
619,"With Tarquin’s ravishing strides, towards his",,,,
620,design,,,,
621,"Moves like a ghost. Thou sure and firm-set earth,",,,,
622,"Hear not my steps, which way they walk, for fear",,,,
623,Thy very stones prate of my whereabouts,,,,
624,"And take the present horror from the time,",,,,
625,"Which now suits with it. Whiles I threat, he lives.",,,,
626,Words to the heat of deeds too cold breath gives.,,,,
627,"I go, and it is done. The bell invites me.",,,,
628,"Hear it not, Duncan, for it is a knell",,,,
629,That summons thee to heaven or to hell.,,,,
630,That which hath made them drunk hath made me,,,,
631,bold.,,,,
632,What hath quenched them hath given me fire.,,,,
633,Hark!—Peace.,,,,
634,"It was the owl that shrieked, the fatal bellman,",,,,
635,Which gives the stern’st good-night. He is about it.,,,,
636,"The doors are open, and the surfeited grooms",,,,
637,Do mock their charge with snores. I have drugged,,,,
638,"their possets,",,,,
639,That death and nature do contend about them,,,,
640,Whether they live or die.,,,,
641,"Who’s there? what, ho!",,,,
642,"Alack, I am afraid they have awaked,",,,,
643,And ’tis not done. Th’ attempt and not the deed,,,,
644,Confounds us. Hark!—I laid their daggers ready;,,,,
645,He could not miss ’em. Had he not resembled,,,,
646,"My father as he slept, I had done ’t.",,,,
647,My husband?,,,,
648,I have done the deed. Didst thou not hear a noise?,,,,
649,I heard the owl scream and the crickets cry.,,,,
650,Did not you speak?,,,,
651,When?,,,,
652,Now.,,,,
653,As I descended?,,,,
654,Ay.,,,,
655,Hark!—Who lies i’ th’ second chamber?,,,,
656,Donalbain.,,,,
657,This is a sorry sight.,,,,
658,"A foolish thought, to say a sorry sight.",,,,
659,"There’s one did laugh in ’s sleep, and one cried",,,,
660,Murder!,,,,
661,That they did wake each other. I stood and heard,,,,
662,them.,,,,
663,But they did say their prayers and addressed them,,,,
664,Again to sleep.,,,,
665,There are two lodged together.,,,,
666,"One cried God bless us and Amen the other,",,,,
667,"As they had seen me with these hangman’s hands,",,,,
668,List’ning their fear. I could not say Amen,,,,
669,When they did say God bless us.,,,,
670,Consider it not so deeply.,,,,
671,But wherefore could not I pronounce Amen?,,,,
672,"I had most need of blessing, and Amen",,,,
673,Stuck in my throat.,,,,
674,These deeds must not be thought,,,,
675,"After these ways; so, it will make us mad.",,,,
676,Methought I heard a voice cry Sleep no more!,,,,
677,"Macbeth does murder sleep—the innocent sleep,",,,,
678,"Sleep that knits up the raveled sleave of care,",,,,
679,"The death of each day’s life, sore labor’s bath,",,,,
680,"Balm of hurt minds, great nature’s second course,",,,,
681,Chief nourisher in life’s feast.,,,,
682,What do you mean?,,,,
683,Still it cried Sleep no more! to all the house.,,,,
684,"Glamis hath murdered sleep, and therefore",,,,
685,Cawdor,,,,
