speaker,act,scene,line_number,text
Banquo,1,3,178,Or have we eaten on the insane root
Banquo,1,3,179,That takes the reason prisoner?
Macbeth,1,3,180,Your children shall be kings.
Banquo,1,3,181,You shall be king.
Macbeth,1,3,182,And Thane of Cawdor too. Went it not so?
Banquo,1,3,183,To th’ selfsame tune and words.—Who’s here?
Ross,1,3,184,"The King hath happily received, Macbeth,"
Ross,1,3,185,"The news of thy success, and, when he reads"
Ross,1,3,186,"Thy personal venture in the rebels’ fight,"
Ross,1,3,187,His wonders and his praises do contend
Ross,1,3,188,"Which should be thine or his. Silenced with that,"
Ross,1,3,189,In viewing o’er the rest o’ th’ selfsame day
Ross,1,3,190,"He finds thee in the stout Norweyan ranks,"
Ross,1,3,191,"Nothing afeard of what thyself didst make,"
Ross,1,3,192,Strange images of death. As thick as tale
Ross,1,3,193,"Came post with post, and every one did bear"
Ross,1,3,194,"Thy praises in his kingdom’s great defense,"
Ross,1,3,195,And poured them down before him.
Angus,1,3,196,We are sent
Angus,1,3,197,"To give thee from our royal master thanks,"
Angus,1,3,198,"Only to herald thee into his sight,"
Angus,1,3,199,Not pay thee.
Ross,1,3,200,"And for an earnest of a greater honor,"
Ross,1,3,201,"He bade me, from him, call thee Thane of Cawdor,"
Ross,1,3,202,"In which addition, hail, most worthy thane,"
Ross,1,3,203,For it is thine.
Banquo,1,3,204,"What, can the devil speak true?"
Macbeth,1,3,205,The Thane of Cawdor lives. Why do you dress me
Macbeth,1,3,206,In borrowed robes?
Angus,1,3,207,"Who was the Thane lives yet,"
Angus,1,3,208,But under heavy judgment bears that life
Angus,1,3,209,Which he deserves to lose. Whether he was
Angus,1,3,210,combined
Angus,1,3,211,"With those of Norway, or did line the rebel"
Angus,1,3,212,"With hidden help and vantage, or that with both"
Angus,1,3,213,"He labored in his country’s wrack, I know not;"
Angus,1,3,214,"But treasons capital, confessed and proved,"
Angus,1,3,215,Have overthrown him.
Macbeth,1,3,216,Glamis and Thane of Cawdor!
Macbeth,1,3,217,The greatest is behind. Thanks
Macbeth,1,3,218,for your pains.
Macbeth,1,3,219,Do you not hope your children
Macbeth,1,3,220,"shall be kings,"
Macbeth,1,3,221,When those that gave the Thane of Cawdor to me
Macbeth,1,3,222,Promised no less to them?
Banquo,1,3,223,"That, trusted home,"
Banquo,1,3,224,"Might yet enkindle you unto the crown,"
Banquo,1,3,225,Besides the Thane of Cawdor. But ’tis strange.
Banquo,1,3,226,"And oftentimes, to win us to our harm,"
Banquo,1,3,227,"The instruments of darkness tell us truths,"
Banquo,1,3,228,"Win us with honest trifles, to betray ’s"
Banquo,1,3,229,In deepest consequence.—
Banquo,1,3,230,"Cousins, a word, I pray you."
Macbeth,1,3,231,Two truths are told
Macbeth,1,3,232,As happy prologues to the swelling act
Macbeth,1,3,233,"Of the imperial theme.—I thank you, gentlemen."
Macbeth,1,3,234,This supernatural soliciting
Macbeth,1,3,235,"Cannot be ill, cannot be good. If ill,"
Macbeth,1,3,236,Why hath it given me earnest of success
Macbeth,1,3,237,Commencing in a truth? I am Thane of Cawdor.
Macbeth,1,3,238,"If good, why do I yield to that suggestion"
Macbeth,1,3,239,Whose horrid image doth unfix my hair
Macbeth,1,3,240,And make my seated heart knock at my ribs
Macbeth,1,3,241,Against the use of nature? Present fears
Macbeth,1,3,242,Are less than horrible imaginings.
Macbeth,1,3,243,"My thought, whose murder yet is but fantastical,"
Macbeth,1,3,244,Shakes so my single state of man
Macbeth,1,3,245,"That function is smothered in surmise,"
Macbeth,1,3,246,And nothing is but what is not.
Banquo,1,3,247,Look how our partner’s rapt.
Macbeth,1,3,248,"If chance will have me king, why, chance may"
Macbeth,1,3,249,crown me
Macbeth,1,3,250,Without my stir.
Banquo,1,3,251,"New honors come upon him,"
Banquo,1,3,252,"Like our strange garments, cleave not to their mold"
Banquo,1,3,253,But with the aid of use.
Macbeth,1,3,254,"Come what come may,"
Macbeth,1,3,255,Time and the hour runs through the roughest day.
Banquo,1,3,256,"Worthy Macbeth, we stay upon your leisure."
Macbeth,1,3,257,Give me your favor. My dull brain was wrought
Macbeth,1,3,258,"With things forgotten. Kind gentlemen, your pains"
Macbeth,1,3,259,Are registered where every day I turn
Macbeth,1,3,260,The leaf to read them. Let us toward the King.
Macbeth,1,3,261,"Think upon what hath chanced,"
Macbeth,1,3,262,"and at more time,"
Macbeth,1,3,263,"The interim having weighed it, let us speak"
Macbeth,1,3,264,Our free hearts each to other.
Banquo,1,3,265,Very gladly.
Macbeth,1,3,266,"Till then, enough.—Come, friends."
Duncan,1,4,267,Is execution done on Cawdor? Are not
Duncan,1,4,268,Those in commission yet returned?
Malcolm,1,4,269,"My liege,"
Malcolm,1,4,270,They are not yet come back. But I have spoke
Malcolm,1,4,271,"With one that saw him die, who did report"
Malcolm,1,4,272,"That very frankly he confessed his treasons,"
Malcolm,1,4,273,"Implored your Highness’ pardon, and set forth"
Malcolm,1,4,274,A deep repentance. Nothing in his life
Malcolm,1,4,275,Became him like the leaving it. He died
Malcolm,1,4,276,As one that had been studied in his death
Malcolm,1,4,277,To throw away the dearest thing he owed
Malcolm,1,4,278,As ’twere a careless trifle.
Duncan,1,4,279,There’s no art
Duncan,1,4,280,To find the mind’s construction in the face.
Duncan,1,4,281,He was a gentleman on whom I built
Duncan,1,4,282,An absolute trust.
Duncan,1,4,283,"O worthiest cousin,"
Duncan,1,4,284,The sin of my ingratitude even now
Duncan,1,4,285,Was heavy on me. Thou art so far before
Duncan,1,4,286,That swiftest wing of recompense is slow
Duncan,1,4,287,"To overtake thee. Would thou hadst less deserved,"
Duncan,1,4,288,That the proportion both of thanks and payment
Duncan,1,4,289,"Might have been mine! Only I have left to say,"
Duncan,1,4,290,More is thy due than more than all can pay.
Macbeth,1,4,291,The service and the loyalty I owe
Macbeth,1,4,292,In doing it pays itself. Your Highness’ part
Macbeth,1,4,293,"Is to receive our duties, and our duties"
Macbeth,1,4,294,"Are to your throne and state children and servants,"
Macbeth,1,4,295,Which do but what they should by doing everything
Macbeth,1,4,296,Safe toward your love and honor.
Duncan,1,4,297,Welcome hither.
Duncan,1,4,298,I have begun to plant thee and will labor
Duncan,1,4,299,"To make thee full of growing.—Noble Banquo,"
Duncan,1,4,300,That hast no less deserved nor must be known
Duncan,1,4,301,"No less to have done so, let me enfold thee"
Duncan,1,4,302,And hold thee to my heart.
Banquo,1,4,303,"There, if I grow,"
Banquo,1,4,304,The harvest is your own.
Duncan,1,4,305,"My plenteous joys,"
Duncan,1,4,306,"Wanton in fullness, seek to hide themselves"
Duncan,1,4,307,"In drops of sorrow.—Sons, kinsmen, thanes,"
Duncan,1,4,308,"And you whose places are the nearest, know"
Duncan,1,4,309,We will establish our estate upon
Duncan,1,4,310,"Our eldest, Malcolm, whom we name hereafter"
Duncan,1,4,311,The Prince of Cumberland; which honor must
Duncan,1,4,312,"Not unaccompanied invest him only,"
Duncan,1,4,313,"But signs of nobleness, like stars, shall shine"
Duncan,1,4,314,On all deservers.—From hence to Inverness
Duncan,1,4,315,And bind us further to you.
Macbeth,1,4,316,The rest is labor which is not used for you.
Macbeth,1,4,317,I’ll be myself the harbinger and make joyful
Macbeth,1,4,318,The hearing of my wife with your approach.
Macbeth,1,4,319,So humbly take my leave.
Duncan,1,4,320,My worthy Cawdor.
Macbeth,1,4,321,The Prince of Cumberland! That is a step
Macbeth,1,4,322,"On which I must fall down or else o’erleap,"
Macbeth,1,4,323,"For in my way it lies. Stars, hide your fires;"
Macbeth,1,4,324,Let not light see my black and deep desires.
Macbeth,1,4,325,"The eye wink at the hand, yet let that be"
Macbeth,1,4,326,"Which the eye fears, when it is done, to see."
Duncan,1,4,327,"True, worthy Banquo. He is full so valiant,"
Duncan,1,4,328,And in his commendations I am fed:
Duncan,1,4,329,"It is a banquet to me.—Let’s after him,"
Duncan,1,4,330,Whose care is gone before to bid us welcome.
Duncan,1,4,331,It is a peerless kinsman.
Lady Macbeth,1,5,332,They met me in the
Lady Macbeth,1,5,333,"day of success, and I have learned by the perfect’st"
Lady Macbeth,1,5,334,report they have more in them than mortal knowledge.
Lady Macbeth,1,5,335,"When I burned in desire to question them further, they"
Lady Macbeth,1,5,336,"made themselves air, into which they vanished."
Lady Macbeth,1,5,337,Whiles I stood rapt in the wonder of it came missives
Lady Macbeth,1,5,338,"from the King, who all-hailed me Thane of Cawdor,"
Lady Macbeth,1,5,339,"by which title, before, these Weïrd Sisters saluted me"
Lady Macbeth,1,5,340,"and referred me to the coming on of time with Hail,"
Lady Macbeth,1,5,341,king that shalt be. This have I thought good to deliver
Lady Macbeth,1,5,342,"thee, my dearest partner of greatness, that thou"
Lady Macbeth,1,5,343,might’st not lose the dues of rejoicing by being ignorant
Lady Macbeth,1,5,344,of what greatness is promised thee. Lay it to thy
Lady Macbeth,1,5,345,"heart, and farewell."
Lady Macbeth,1,5,346,"Glamis thou art, and Cawdor, and shalt be"
Lady Macbeth,1,5,347,What thou art promised. Yet do I fear thy nature;
Lady Macbeth,1,5,348,It is too full o’ th’ milk of human kindness
Lady Macbeth,1,5,349,"To catch the nearest way. Thou wouldst be great,"
Lady Macbeth,1,5,350,"Art not without ambition, but without"
Lady Macbeth,1,5,351,The illness should attend it. What thou wouldst
Lady Macbeth,1,5,352,"highly,"
Lady Macbeth,1,5,353,That wouldst thou holily; wouldst not play false
Lady Macbeth,1,5,354,"And yet wouldst wrongly win. Thou ’dst have, great"
Lady Macbeth,1,5,355,"Glamis,"
Lady Macbeth,1,5,356,"That which cries Thus thou must do, if thou have"
Lady Macbeth,1,5,357,"it,"
Lady Macbeth,1,5,358,"And that which rather thou dost fear to do,"
Lady Macbeth,1,5,359,"Than wishest should be undone. Hie thee hither,"
Lady Macbeth,1,5,360,That I may pour my spirits in thine ear
Lady Macbeth,1,5,361,And chastise with the valor of my tongue
Lady Macbeth,1,5,362,"All that impedes thee from the golden round,"
Lady Macbeth,1,5,363,Which fate and metaphysical aid doth seem
Lady Macbeth,1,5,364,To have thee crowned withal.
Lady Macbeth,1,5,365,What is your tidings?
Messenger,1,5,366,The King comes here tonight.
Lady Macbeth,1,5,367,Thou ’rt mad to say it.
Lady Macbeth,1,5,368,"Is not thy master with him, who, were ’t so,"
Lady Macbeth,1,5,369,Would have informed for preparation?
Messenger,1,5,370,"So please you, it is true. Our thane is coming."
Messenger,1,5,371,"One of my fellows had the speed of him,"
Messenger,1,5,372,"Who, almost dead for breath, had scarcely more"
Messenger,1,5,373,Than would make up his message.
Lady Macbeth,1,5,374,Give him tending.
Lady Macbeth,1,5,375,He brings great news.
Lady Macbeth,1,5,376,The raven himself is hoarse
Lady Macbeth,1,5,377,That croaks the fatal entrance of Duncan
Lady Macbeth,1,5,378,"Under my battlements. Come, you spirits"
Lady Macbeth,1,5,379,"That tend on mortal thoughts, unsex me here,"
Lady Macbeth,1,5,380,And fill me from the crown to the toe top-full
Lady Macbeth,1,5,381,Of direst cruelty. Make thick my blood.
Lady Macbeth,1,5,382,"Stop up th’ access and passage to remorse,"
Lady Macbeth,1,5,383,That no compunctious visitings of nature
Lady Macbeth,1,5,384,"Shake my fell purpose, nor keep peace between"
Lady Macbeth,1,5,385,Th’ effect and it. Come to my woman’s breasts
Lady Macbeth,1,5,386,"And take my milk for gall, you murd’ring ministers,"
Lady Macbeth,1,5,387,Wherever in your sightless substances
Lady Macbeth,1,5,388,"You wait on nature’s mischief. Come, thick night,"
Lady Macbeth,1,5,389,"And pall thee in the dunnest smoke of hell,"
Lady Macbeth,1,5,390,"That my keen knife see not the wound it makes,"
Lady Macbeth,1,5,391,Nor heaven peep through the blanket of the dark
Lady Macbeth,1,5,392,"To cry Hold, hold!"
Lady Macbeth,1,5,393,"Great Glamis, worthy Cawdor,"
Lady Macbeth,1,5,394,Greater than both by the all-hail hereafter!
Lady Macbeth,1,5,395,Thy letters have transported me beyond
Lady Macbeth,1,5,396,"This ignorant present, and I feel now"
Lady Macbeth,1,5,397,The future in the instant.
Macbeth,1,5,398,"My dearest love,"
Macbeth,1,5,399,Duncan comes here tonight.
Lady Macbeth,1,5,400,And when goes hence?
Macbeth,1,5,401,"Tomorrow, as he purposes."
Lady Macbeth,1,5,402,"O, never"
Lady Macbeth,1,5,403,Shall sun that morrow see!
Lady Macbeth,1,5,404,"Your face, my thane, is as a book where men"
Lady Macbeth,1,5,405,"May read strange matters. To beguile the time,"
Lady Macbeth,1,5,406,"Look like the time. Bear welcome in your eye,"
Lady Macbeth,1,5,407,"Your hand, your tongue. Look like th’ innocent"
Lady Macbeth,1,5,408,"flower,"
Lady Macbeth,1,5,409,But be the serpent under ’t. He that’s coming
Lady Macbeth,1,5,410,Must be provided for; and you shall put
Lady Macbeth,1,5,411,"This night’s great business into my dispatch,"
Lady Macbeth,1,5,412,Which shall to all our nights and days to come
Lady Macbeth,1,5,413,Give solely sovereign sway and masterdom.
Macbeth,1,5,414,We will speak further.
Lady Macbeth,1,5,415,Only look up clear.
Lady Macbeth,1,5,416,To alter favor ever is to fear.
Lady Macbeth,1,5,417,Leave all the rest to me.
Duncan,1,6,418,This castle hath a pleasant seat. The air
Duncan,1,6,419,Nimbly and sweetly recommends itself
Duncan,1,6,420,Unto our gentle senses.
Banquo,1,6,421,"This guest of summer,"
Banquo,1,6,422,"The temple-haunting martlet, does approve,"
Banquo,1,6,423,"By his loved mansionry, that the heaven’s breath"
Banquo,1,6,424,"Smells wooingly here. No jutty, frieze,"
Banquo,1,6,425,"Buttress, nor coign of vantage, but this bird"
Banquo,1,6,426,Hath made his pendant bed and procreant cradle.
Banquo,1,6,427,"Where they most breed and haunt, I have"
Banquo,1,6,428,"observed,"
Banquo,1,6,429,The air is delicate.
Duncan,1,6,430,"See, see our honored hostess!—"
Duncan,1,6,431,"The love that follows us sometime is our trouble,"
Duncan,1,6,432,Which still we thank as love. Herein I teach you
Duncan,1,6,433,How you shall bid God ’ild us for your pains
Duncan,1,6,434,And thank us for your trouble.
Lady Macbeth,1,6,435,"All our service,"
Lady Macbeth,1,6,436,"In every point twice done and then done double,"
Lady Macbeth,1,6,437,Were poor and single business to contend
Lady Macbeth,1,6,438,Against those honors deep and broad wherewith
Lady Macbeth,1,6,439,"Your Majesty loads our house. For those of old,"
Lady Macbeth,1,6,440,"And the late dignities heaped up to them,"
Lady Macbeth,1,6,441,We rest your hermits.
Duncan,1,6,442,Where’s the Thane of Cawdor?
Duncan,1,6,443,We coursed him at the heels and had a purpose
Duncan,1,6,444,"To be his purveyor; but he rides well,"
Duncan,1,6,445,"And his great love, sharp as his spur, hath helped"
Duncan,1,6,446,him
Duncan,1,6,447,"To his home before us. Fair and noble hostess,"
Duncan,1,6,448,We are your guest tonight.
Lady Macbeth,1,6,449,Your servants ever
Lady Macbeth,1,6,450,"Have theirs, themselves, and what is theirs in compt"
Lady Macbeth,1,6,451,"To make their audit at your Highness’ pleasure,"
Lady Macbeth,1,6,452,Still to return your own.
Duncan,1,6,453,Give me your hand.
Duncan,1,6,454,Conduct me to mine host. We love him highly
Duncan,1,6,455,And shall continue our graces towards him.
Duncan,1,6,456,"By your leave, hostess."
Macbeth,1,7,457,"If it were done when ’tis done, then ’twere well"
Macbeth,1,7,458,It were done quickly. If th’ assassination
Macbeth,1,7,459,Could trammel up the consequence and catch
Macbeth,1,7,460,"With his surcease success, that but this blow"
Macbeth,1,7,461,"Might be the be-all and the end-all here,"
Macbeth,1,7,462,"But here, upon this bank and shoal of time,"
Macbeth,1,7,463,We’d jump the life to come. But in these cases
Macbeth,1,7,464,"We still have judgment here, that we but teach"
Macbeth,1,7,465,"Bloody instructions, which, being taught, return"
Macbeth,1,7,466,To plague th’ inventor. This even-handed justice
Macbeth,1,7,467,Commends th’ ingredience of our poisoned chalice
Macbeth,1,7,468,To our own lips. He’s here in double trust:
Macbeth,1,7,469,"First, as I am his kinsman and his subject,"
Macbeth,1,7,470,"Strong both against the deed; then, as his host,"
Macbeth,1,7,471,"Who should against his murderer shut the door,"
Macbeth,1,7,472,"Not bear the knife myself. Besides, this Duncan"
Macbeth,1,7,473,"Hath borne his faculties so meek, hath been"
Macbeth,1,7,474,"So clear in his great office, that his virtues"
Macbeth,1,7,475,"Will plead like angels, trumpet-tongued, against"
Macbeth,1,7,476,The deep damnation of his taking-off;
Macbeth,1,7,477,"And pity, like a naked newborn babe"
Macbeth,1,7,478,"Striding the blast, or heaven’s cherubin horsed"
Macbeth,1,7,479,"Upon the sightless couriers of the air,"
Macbeth,1,7,480,"Shall blow the horrid deed in every eye,"
Macbeth,1,7,481,That tears shall drown the wind. I have no spur
Macbeth,1,7,482,"To prick the sides of my intent, but only"
Macbeth,1,7,483,"Vaulting ambition, which o’erleaps itself"
Macbeth,1,7,484,And falls on th’ other—
Macbeth,1,7,485,"How now, what news?"
Lady Macbeth,1,7,486,He has almost supped. Why have you left the
Lady Macbeth,1,7,487,chamber?
Macbeth,1,7,488,Hath he asked for me?
Lady Macbeth,1,7,489,Know you not he has?
Macbeth,1,7,490,We will proceed no further in this business.
Macbeth,1,7,491,"He hath honored me of late, and I have bought"
Macbeth,1,7,492,"Golden opinions from all sorts of people,"
Macbeth,1,7,493,"Which would be worn now in their newest gloss,"
Macbeth,1,7,494,Not cast aside so soon.
Lady Macbeth,1,7,495,Was the hope drunk
Lady Macbeth,1,7,496,Wherein you dressed yourself? Hath it slept since?
Lady Macbeth,1,7,497,"And wakes it now, to look so green and pale"
Lady Macbeth,1,7,498,At what it did so freely? From this time
Lady Macbeth,1,7,499,Such I account thy love. Art thou afeard
Lady Macbeth,1,7,500,To be the same in thine own act and valor
Lady Macbeth,1,7,501,As thou art in desire? Wouldst thou have that
Lady Macbeth,1,7,502,Which thou esteem’st the ornament of life
Lady Macbeth,1,7,503,"And live a coward in thine own esteem,"
Lady Macbeth,1,7,504,"Letting I dare not wait upon I would,"
Lady Macbeth,1,7,505,Like the poor cat i’ th’ adage?
Macbeth,1,7,506,"Prithee, peace."
Macbeth,1,7,507,I dare do all that may become a man.
Macbeth,1,7,508,Who dares do more is none.
Lady Macbeth,1,7,509,"What beast was ’t,"
Lady Macbeth,1,7,510,"then,"
Lady Macbeth,1,7,511,That made you break this enterprise to me?
Lady Macbeth,1,7,512,"When you durst do it, then you were a man;"
Lady Macbeth,1,7,513,"And to be more than what you were, you would"
Lady Macbeth,1,7,514,Be so much more the man. Nor time nor place
Lady Macbeth,1,7,515,"Did then adhere, and yet you would make both."
Lady Macbeth,1,7,516,"They have made themselves, and that their fitness"
Lady Macbeth,1,7,517,now
Lady Macbeth,1,7,518,"Does unmake you. I have given suck, and know"
